Job,Link,Company,Location,Classification,Subclassification,Type,Date_Posted,Description
Test Analyst / Kaitātari Whakamātau,,at Z Energy,"Wellington Central, Wellington",Information & Communication Technology,Testing & Quality Assurance,,,
Senior Systems Specialist (Digital Learning),,at University of Otago,"North Dunedin, Otago",Information & Communication Technology,Database Development & Administration,,,
IT Support Analyst - Water,,at Fulton Hogan,Wellington,Information & Communication Technology,Help Desk & IT Support,,,
Entry Level Web and Database Admin,,at Phosphor,"Auckland CBD, Auckland",Information & Communication Technology,Web Development & Production,,,
Kaitohutohu Matua Kōtuitanga Hinonga | Senior Advisor Agency Partnering,,at Stats NZ,"Wellington Central, Wellington",Government & Defence,Other,,,
Senior Category Insights Consultant,,at Quantium,"Auckland CBD, Auckland",Marketing & Communications,Market Research & Analysis,,,
Technology Consultant,,at Crew Technology Recruitment,"Christchurch, Canterbury",Information & Communication Technology,Consultants,,,
Research Advisory Specialist,,at University of Otago,"North Dunedin, Otago",Administration & Office Support,Administrative Assistants,,,
Asset Information Technician,,at DOWNER NZ,"Christchurch Central, Canterbury",Construction,Other,,,
"2024 Corporate, Institutional Banking and Property Finance Graduate",,at BNZ,"Auckland CBD, Auckland",Banking & Financial Services,Banking - Corporate & Institutional,,,
Senior Manager Risk Reporting - 10 Month Fixed-Term,,at Kiwibank,"Auckland CBD, Auckland",Banking & Financial Services,Analysis & Reporting,,,
Senior Cybersecurity Analyst,,at Datacom,"Auckland CBD, Auckland",Information & Communication Technology,Security,,,
Senior Advisor Planning and Performance,,at Department of Internal Affairs,Wellington,Government & Defence,Local Government,,,
Senior Cybersecurity Analyst,,at Datacom,"Wellington Central, Wellington",Information & Communication Technology,Security,,,
Technology Consultant,,at Crew Technology Recruitment,"Dunedin, Otago",Information & Communication Technology,Consultants,,,
Functional Design Lead - Procurement,,at Fonterra Co-operative Group Ltd,"Hamilton Central, Waikato",Information & Communication Technology,Architects,,,
2024 Business and Commercial Banking Graduate,,at BNZ,"Hamilton Central, Waikato",Banking & Financial Services,Banking - Business,,,
Research Assistant,,at Robinson Research Institute,"Lower Hutt, Wellington",Engineering,Chemical Engineering,,,
Manager Liquidity Management,,at ANZ Banking group,"Wellington Central, Wellington",Banking & Financial Services,Treasury,,,
Solution Architect,,at ANZ Banking group,"Wellington Central, Wellington",Information & Communication Technology,Architects,,,
Manager – Poumatua Raraunga,,at Beyond Recruitment - Winner - Best Innovation -2018 Global Recruiter Awards,"Wellington Central, Wellington",Government & Defence,Government,,,
Manager Stress Testing,,at Westpac,"Auckland CBD, Auckland",Banking & Financial Services,Compliance & Risk,,,
Product Lead (Medical Systems),,at University of Otago,"North Dunedin, Otago",Information & Communication Technology,Product Management & Development,,,
Remuneration & Reward Lead,,at ACC New Zealand,Wellington,Human Resources & Recruitment,Remuneration & Benefits,,,
Product Lead (Enterprise Systems),,at University of Otago,"North Dunedin, Otago",Information & Communication Technology,Product Management & Development,,,
Research & Evaluation Advisor - Fixed-Term,,at VisionWest Community Trust,"Glen Eden, Auckland",Information & Communication Technology,Business/Systems Analysts,,,
Quality Assurance Support – Fixed Term,,at Stats NZ,"Auckland CBD, Auckland",Call Centre & Customer Service,Management & Support,,,
Value Stream Lead,,at Younity,"Wellington Central, Wellington",Information & Communication Technology,Programme & Project Management,,,
CRM NZ Campaign Lead,,at BP,"Auckland CBD, Auckland",Marketing & Communications,Direct Marketing & CRM,,,
2024 Business and Commercial Banking Graduate,,at BNZ,"Christchurch Central, Canterbury",Banking & Financial Services,Banking - Business,,,
Senior Analyst Tester,,at Absolute IT Limited,"Auckland CBD, Auckland",Information & Communication Technology,Testing & Quality Assurance,,,
Senior Security Operations Analyst,,at ANZ Banking group,"Auckland CBD, Auckland",Information & Communication Technology,Security,,,
Customer Verification Analyst AML,,at Kiwibank,"Lower Hutt, Wellington",Banking & Financial Services,Compliance & Risk,,,
Kaitatari Kaupapa Here | Policy Analyst - Freshwater Rights and Interests,,at Ministry for the Environment,"Auckland CBD, Auckland",Government & Defence,"Policy, Planning & Regulation",,,
"2024 Corporate, Institutional Banking and Property Finance Graduate",,at BNZ,"Christchurch Central, Canterbury",Banking & Financial Services,Banking - Corporate & Institutional,,,
PwC Consulting - Cyber Defence Analyst,,at PwC NZ,"Auckland CBD, Auckland",Information & Communication Technology,Security,,,
Parts Brand Analyst (Graduate) European Motor Distributors,,at Bright Teams,"Auckland Airport, Auckland",Trades & Services,Automotive Trades,,,
SRE Practice Lead,,at Fidelity Life,"Auckland CBD, Auckland",Information & Communication Technology,Team Leaders,,,
Interim FP&A Lead (FMCG) 6 Months,,at Consult Recruitment - Accounting and Finance,"Manukau & East Auckland, Auckland",Accounting,Strategy & Planning,,,
Senior Business Analyst,,at Taska360,"Wellington Central, Wellington",Information & Communication Technology,Business/Systems Analysts,,,
Principal Research Adviser,,at Department of Corrections,"Christchurch Central, Canterbury",Government & Defence,"Policy, Planning & Regulation",,,
WSP 2024 Graduate Opportunities,,at WSP,"Auckland CBD, Auckland",Engineering,Civil/Structural Engineering,,,
Analyst - Corporate Banking,,at Industrial and Commercial Bank of China (New Zealand) Ltd,"Auckland CBD, Auckland",Banking & Financial Services,Banking - Corporate & Institutional,,,
Financial Crime Associate - Financial Crime Operations,,at BNZ,"Wellington Central, Wellington",Banking & Financial Services,Compliance & Risk,,,
"Technology Consultant, End User Services",,at DB Breweries Ltd,"Manukau & East Auckland, Auckland",Information & Communication Technology,Other,,,
Data Collection Representatives,,at PERSOLKELLY,Canterbury,Government & Defence,Other,,,
Senior Finance Analyst,,at Pernod Ricard Winemakers,"Auckland CBD, Auckland",Accounting,Management Accounting & Budgeting,,,
Private Equity | Investment Analyst,,at Debbie Graham & Associates Limited,"Auckland CBD, Auckland",Banking & Financial Services,Corporate Finance & Investment Banking,,,
Junior Trading Manager- Queenstown based - On site,,at Liger Trading NZ,"Auckland CBD, Auckland",Banking & Financial Services,Stockbroking & Trading,,,
IT Support Analyst,,at Tribe,"Hastings Central, Hawkes Bay",Information & Communication Technology,Help Desk & IT Support,,,
Systems Specialist (Digital Learning),,at University of Otago,"North Dunedin, Otago",Information & Communication Technology,Networks & Systems Administration,,,
Cyber Resilience Analyst,,at Government Communications Security Bureau,"Wellington Central, Wellington",Information & Communication Technology,Security,,,
Senior Website Analyst/Designer,,at Younity,Auckland,Information & Communication Technology,Developers/Programmers,,,
Āpiti Pakihi Pūtea | Finance Business Partner,,at Ministry for the Environment,"Wellington Central, Wellington",Accounting,Management Accounting & Budgeting,,,
Senior Policy Analyst,,at Oranga Tamariki - Ministry for Children,"Wellington Central, Wellington",Government & Defence,"Policy, Planning & Regulation",,,
Laboratory & Sampling Analyst,,at Synlait Milk Ltd,"Pokeno, Waikato",Science & Technology,Laboratory & Technical Services,,,
Credit/Merchant Services Analyst,,at Windcave Limited,"Auckland CBD, Auckland",Banking & Financial Services,Compliance & Risk,,,
Data Collection Representatives,,at PERSOLKELLY,Taranaki,Government & Defence,Other,,,
Project Financial Consultant,,at Comspek International Limited,Auckland,Information & Communication Technology,Consultants,,,
Applications Database Administrator,,at Place Recruitment,"Wellington Central, Wellington",Information & Communication Technology,Database Development & Administration,,,
Small Business Lending Analyst,,at Beyond Recruitment - Winner - Best Innovation -2018 Global Recruiter Awards,"Auckland CBD, Auckland",Banking & Financial Services,Credit,,,
Test Analyst,,at Fronde,"Wellington Central, Wellington",Information & Communication Technology,Testing & Quality Assurance,,,
Senior Database Administrator - West Coast,,at Te Whatu Ora - Te Tai o Poutini West Coast,"Greymouth Central, West Coast",Information & Communication Technology,Database Development & Administration,,,
Commercial Information Manager,,at Auckland Council,"Auckland CBD, Auckland",Consulting & Strategy,Other,,,
Queue Management Analyst,,at Whakarongorau Aotearoa,"Christchurch Central, Canterbury",Call Centre & Customer Service,Customer Service - Call Centre,,,
Data Collection Representatives,,at PERSOLKELLY,West Coast,Government & Defence,Other,,,
Queue Management Analyst,,at Whakarongorau Aotearoa,"Auckland CBD, Auckland",Call Centre & Customer Service,Customer Service - Call Centre,,,
Senior Analyst | New Private Equity Firm,,at Debbie Graham & Associates Limited,"Auckland CBD, Auckland",Banking & Financial Services,Corporate Finance & Investment Banking,,,
